"Name","NumOfPublications"
FSKD (3),394
FSKD (4),405
FSKD (5),252
FSMNLP,177
FSR,410
FSTTCS,1622
FTC (1),105
FTC (2),104
FTC (3),59
FTCS,685
FTDCS,369
FTP,32
FTP (LNCS Selection),20
FTRTFT,215
FTSCS,113
FTVI/FTRI,67
FTXS@HPDC,25
FTXS@SC,37
FTfJP@ECOOP,130
FUN,279
FUSION,4803
FUZZ-IEEE,7118
FaVE,16
FabLearn,102
FabLearn Europe,51
FabLearn/MakeEd,50
Fachtagung Prozessrechner,197
Fachtagung über Programmiersprachen,109
Facing the Multicore-Challenge,54
FairWare@ICSE,14
Fault-Tolerant Distributed Computing,23
Feature Based Product Life-Cycle Modelling,11
FedCSIS,2207
FedCSIS (Communication Papers),199
FedCSIS (Position Papers),258
FedEdge@MobiCom,12
Federation over the Web,13
Feedback Computing,24
Fehlertolerierende Rechensysteme,129
FiCloud,611
FiCloud Workshops,173
FinanceCom,82
Financial Cryptography,780
Financial Cryptography Workshops,355
FlexMDE@MoDELS,14
FlexScience@HPDC,10
FoIKS,267
FoSSaCS,770
FoVMT,11
FoVeOOS,30
Focus on Scientific Visualization,18
Food and Agricultural Imaging Systems,11
ForItAAL,151
Form and Content in Sensor Networks,5
Formal Aspects in Security and Trust,132
Formal Aspects of Cognitive Processes,15
Formal Aspects of Measurement,14
Formal Description of Programming Concepts,75
Formal Methods for Industrial Applications,26
Formal Methods in Databases and Software Engineering,12
Formal Power Series and Algebraic Combinatorics,11
Formal Properties of Finite Automata and Applications,19
Formal Protocol Verification Applied,5
Formal Systems Specification,18
FormaliSE,27
FormaliSE@ICSE,126
Forum/CIAO!DC@EEWC,6
FotFS,21
Foundations and Practice of Programming Multi-Agent Systems,3
Foundations of Global Computing,9
Foundations of Knowledge Base Management (Xania),26
Foundations of Logic and Functional Programming,11
Fractals in the Natural and Applied Sciences,41
FroCoS,218
FroCos,65
From Security to Dependability,6
Frontiers of Electronic Voting,10
Fuji International Symposium on Functional and Logic Programming,38
Fun and Games,58
Functional Programming,166
Fundamental Problems in Computing,19
Future Generation Grids,18
Future Internet Assembly,151
Future Network & Mobile Summit,243
Future Parallel Computers,16
Future Play,160
Future Security,81
Fuzzy Days,453
Fuzzy Logic and Fuzzy Control,15
Fuzzy Logic in Artificial Intelligence,30
Fuzzy Logic in Artificial Intelligence (IJCAI Workshop),17
Föderierte Datenbanken,31
GALA,451
GAME-ON,111
GAMENETS,249
GAMEON,66
GAS@ICSE,46
GBCIC,163
GCA,196
GCAI,117
GCAIoT,123
GCB,77
GCC,799
GCC (1),191
GCC (2),170
GCC Workshops,193
GCCB,14
GCCE,3463
GCH,243
GCM@STAF,31
GCPR,444
GCSE,48
GD,1358
GDN,193
GDV@CAV,8
GE@ICSE,47
GECCO,5118
GECCO (Companion),2970
GECCO Companion,1334
GECON,315
GEFS,61
GEM,436
GEMOC@MoDELS,17
GENSiPS,237
GEOCROWD,14
GEOGROWD,18
GEOINFO,533
GETCO,36
GFHEU,45
GHITALY@CHItaly,19
GHTC,1271
GI Jahrestagung,1989
GI Jahrestagung (1),1047
GI Jahrestagung (2),1100
GI-BIFOA,17
GI-Fachgespräch über Rechenzentren,222
GI-Fachtagung über Rechenzentren,43
GI-Jahrestagung,2506
GI-Jahrestagung (Workshops),91
GI@ICSE,29
GIIS,289
GIL Jahrestagung,1146
GIR,161
GIS,541
GIS-HPDGIS,20
GIS-IWGS,23
GIS-LBSN,43
GISTAM,357
GISTAM (Selected Papers),67
GIScience,368
GIScience (I),19
GIoTS,269
GKR,50
GLDV-Jahrestagung,180
GLOBECOM,22046
GLOBECOM (Workshops),1080
GLOBECOM Workshops,2422
GMDS,510
GMM EMV,48
GMP,245
GMSys@MMSys,15
GNNet@CoNEXT,17
GOL,222
GOODTECHS,283
GPC,672
GPC (1),20
GPC (2),21
GPC Workshops,108
GPCE,458
GPGPU,42
GPGPU@ASPLOS,50
GPGPU@PPoPP,72
GPTP,139
GRADES,39
GRADES-NDA@SIGMOD,44
GRADES/NDA@SIGMOD/PODS,27
GRADES@SIGMOD/PODS,23
GRAIL/OCELOT@MICCAI,16
GRAPHITE,295
GRAPP,410
GRAPP/IVAPP,190
GREC,330
GREC@ICDAR,45
GREE,42
GREENS,41
GREENS@ICSE,19
GRID,497
GRMSE,176
GRMSE (1),144
GRMSE (2),116
GROUP,629
GROUP (Companion),60
GSCIT,89
GSCL,78
GSEM,24
GSES,47
GSI,462
GSI (2),66
GSKI (1),69
GSKI (2),75
GSN,33
GSR,50
GT-VC@CONCUR,27
GT-VMT@ETAPS,39
GT-VMT@ICGT,15
GTSE@ICSE,21
GTTSE,80
GWAI,410
GWC,305
GaM@ETAPS,12
GameSec,317
GameSys@MMSys,11
Games in Operations Management,17
Games in Production Management,15
GamiFIN,165
GamifIR@ECIR,26
Gamify@SIGSOFT FSE,14
GandALF,233
Gaze Meets ML,34
GazeIn@ICMI,40
GbRPR,318
GeNeMe,357
GenderIT,54
Generic Programming,40
GeoAI@SIGSPATIAL,79
GeoExT@ECIR,21
GeoHumanities@SIGSPATIAL,51
GeoIndstry@SIGSPATIAL,10
GeoLD@ESWC,24
GeoMM@ACM Multimedia,18
GeoPrivacy@SIGSPATIAL,14
GeoRich@SIGMOD,45
GeoS,68
GeoSearch@SIGSPATIAL,12
GeoSim@SIGSPATIAL,34
Geoinformatics,1463
Geoinformatik,105
Geomed,21
Geometric Modeling,23
Geometric Modelling,88
Geometric Networks and Metric Space Embeddings,4
Geometric Reasoning for Perception and Action,16
Geometric and Algorithmic Aspects of Computer-Aided Design and Manufacturing,16
Geometrisches Modellieren,23
Geometry and Robotics,21
GermEval@KONVENS,30
German Conference on Bioinformatics,561
German Conference on Bioinformatics - Selected Papers,22
Gesture Workshop,289
GfKl,521
Global Computing,28
Global Minimization of Nonconvex Energy Functions: Molecular Conformation and Protein Folding,16
Global Sourcing Workshop,123
GlobalSIP,1994
Globalizing Domain-Specific Languages,6
Globe,79
GoodIT,192
GrC,1513
GraBaTs,33
GraMSec@CSF,52
GraMSec@FLoC,8
GranDGamesBR,13
Graph Drawing,8
Graph Partitioning and Graph Clustering,16
Graph Reduction,24
Graph Structure Theory,47
Graph Theory and Algorithms,19
Graph Transformations and Process Algebras for Modeling Distributed and Mobile Systems,5
Graph-Grammars and Their Application to Computer Science,132
Graph-Grammars and Their Application to Computer Science and Biology,30
Graph-based Methods for Natural Language Processing,23
Graphics Hardware,97
Graphics Interface,807
Graphics Modeling and Visualization in Science and Technology,21
Graphics and Robotics,16
Graphs and Discovery,24
"Graphs, Morphisms and Statistical Physics",20
Great Lakes Computer Science Conference,63
Great Lakes Symposium on VLSI,495
GreeNets,110
GreenCom,167
Grid-Based Problem Solving Environments,29
GridNets,74
Groups And Computation,24
Groups and Computation,25
Grundlagen von Datenbanken,725
GvD,36
GvDB,43
H-WORKLOAD,76
H2RC@SC,26
HAI,740
HAI-GEN+user2agent@IUI,13
HAICTA,497
HAICTA (Revised Selected Papers),15
HAID,145
HAIS,857
HAIS (1),195
HAIS (2),180
HAISA,316
HANDY,14
HANIMOB@SIGSPATIAL,15
HAPTICS,835
HAR,26
HAS,17
HASE,758
HASP@ISCA,76
HASP@MICRO,37
HAVE,164
HBAI@IJCAI,57
HBU,105
HC,86
HC@AIxIA,23
HCC,1006
HCCS,34
HCI (1),1614
HCI (10),848
HCI (11),779
HCI (12),785
HCI (13),739
HCI (14),693
HCI (15),732
HCI (16),649
HCI (17),677
HCI (18),616
HCI (19),590
HCI (2),1698
HCI (20),652
HCI (21),621
HCI (22),628
HCI (23),645
HCI (24),512
HCI (25),476
HCI (26),597
HCI (27),651
HCI (28),599
HCI (29),488
HCI (3),837
HCI (30),390
HCI (31),208
HCI (32),206
HCI (33),227
HCI (34),243
HCI (35),249
HCI (36),153
HCI (37),305
HCI (38),275
HCI (39),254
HCI (4),1174
HCI (40),266
HCI (41),212
HCI (42),188
HCI (43),265
HCI (44),270
HCI (45),263
HCI (46),184
HCI (47),182
HCI (48),219
HCI (49),237
HCI (5),822
HCI (50),49
HCI (51),72
HCI (52),61
HCI (53),66
HCI (54),63
HCI (6),813
HCI (7),809
HCI (8),838
HCI (9),884
HCI-COLLAB,145
HCI-SI,42
HCIEd,16
HCIR,11
HCIS,60
HCITOCH,33
HCIV,28
HCM@MM,30
HCMA@MM,22
HCOMP,301
HCS,121
HCSE,129
HCVS,12
HCVS@ETAPS,15
HDI,35
HDI@ICDAR,14
HDSDA,13
HEALTHINF,1284
HEART,140
HECKTOR@MICCAI,68
HEFA,13
HELMeTO,105
HERCMA,60
HESSD,10
HFR,87
HHAI,100
HIC,168
HICSS,16914
HICSS (1),354
HICSS (2),310
HICSS (3),308
HICSS (4),373
HICSS (5),228
HICSS (6),111
HILDA@SIGMOD,96
HILT,62
HIM,47
HIMA,36
HIP@ICDAR,132
HIPS,64
HIS,1820
HISB,119
HLCL,12
HLDVT,417
HLS-D3@EC-TEL,12
HLT,646
HLT-NAACL,1311
HLT-NAACL (Short Papers),168
HLT-NAACL (Tutorial Abstracts),13
HM,34
HMWC,101
HOA,32
HOIT,39
HOOTS,40
HOPL,95
HOST,560
HOT-P2P,30
HOTI,28
HOTPOST@MobiHoc,21
HP-MOSys,25
HP3C,215
HPC,44
HPC Asia,138
HPC Asia Workshops,47
HPCA,1429
HPCA (China),107
HPCC,792
HPCC/CSS/ICESS,513
HPCC/DSS/SmartCity/DependSys,844
HPCC/SmartCity/DSS,934
HPCCT,41
HPCCT/BDAI,101
HPCN,170
HPCN Europe,924
HPCNCS,81
HPCS,1605
HPCSE,41
HPCVirt@EuroSys,12
HPDC,1290
HPEC,937
HPN,150
HPRCTA@SC,25
HPSC,138
HPSR,552
HPTS,102
HR@RecSys,32
HRI,2036
HRI (Companion),1352
HRPR,18
HSB,71
HSCC,1068
HSCMA,84
HSI,646
HSNMC,160
HT,650
HT (Extended Proceedings),32
HUC,75
HUG,41
HUMA @ ACM Multimedia,21
HUMAN@AAAI Fall Symposium,8
HUMAN@HT,36
HUST/SE-HER/WIHPC@SC,13
HUST@SC,26
HVEI,199
HWID,99
HaPoC,22
Haifa Verification Conference,272
Haptic Human-Computer Interaction,24
"Hardware Specification, Verification and Synthesis",20
Hardware and Software Architectures for Fault Tolerance,26
Haskell,285
Haskell@ICFP,44
HealthCom,594
HealthGIS,36
HealthGrid,215
HealthMedia@MM,22
HealthRecSys@RecSys,39
HealthSec,47
Healthcom,470
HealthyIoT,106
Heinz Nixdorf Symposium,61
Herausforderungen an die Wissensorganisation (ISKO Tagung),28
HetRec@RecSys,24
Heterogeneous Computing Workshop,89
HiCoNS,53
HiPC,1422
HiPC Workshops,104
HiPCW,35
HiPEAC,149
HiPINEB@HPCA,28
HiPS@HPDC,14
HiPar@SC,10
High Performance Computing Workshop,95
High Performance Computing Workshop (1),15
High Performance Computing Workshop (2),12
High Performance Graphics,169
High-Speed Networking for Multimedia Applications,17
HistoCrypt,130
History of Nordic Computing,166
HoloMAS,239
HomeNets@SIGCOMM,24
Hot Chips Symposium,432
Hot Interconnects,383
Hot-ICE,26
HotCloud,277
HotDep,72
HotEdge,66
HotEdgeVideo@MobiCom,9
HotMiddlebox@SIGCOMM,23
HotMobile,443
HotNets,489
HotOS,406
HotPar,48
HotPlanet@MobiSys,30
HotPower,35
HotPower@SOSP,33
HotSDN,94
HotSWUp,37
HotSec,72
HotSoS,190
HotStorage,297
HotWeb,64
HotWireless@MobiCom,41
HuCom,9
HuFaMo@MoDELS,15
Human Motion,25
Human Vision and Electronic Imaging,1076
Human-Centered Visualization Environments,9
Human.Society@Internet,77
Humanoids,2118
HyLo@FLoC,11
HyLo@LICS,6
HyTra@ACL,32
Hybrid Autonomous Systems@ETAPS,7
Hybrid Metaheuristics,135
Hybrid Neural Systems,28
Hybrid Systems,142
Hypertext,784
Hypertext und Hypermedia,50
I-ESA,248
I-ESA Workshops,103
I-KNOW,215
I-SEMANTICS,189
I-SEMANTICS (Posters & Demos),26
I-SPAN,95
I-USED,31
I-UxSED,23
I2MTC,3512
I3D,292
I3E,815
I3E (1),126
I3E (2),112
I3E Workshops,16
I4CS,210
IA3@SC,123
IAAI,305
IADIS AC,151
IAIC (1),38
IAIC (2),24
IAIC (3),27
IAIT,200
IAL@PKDD/ECML,62
IALP,1085
IAM,29
IARML@IJCAI,13
IARWISOI,32
IAS,4930
IAS (1),84
IAS (2),86
IASSE,166
IASSIST Conference,918
IASTED Conf. on Software Engineering,270
IASTED PDCS,267
IAT,1047
IATA,32
IBERAMIA,591
IBERAMIA-SBIA,118
IBICA,544
IBM Symposium: Data Base Systems,17
IBM Symposium: Interactive Systems,18
IC,351
IC BCI,57
IC-AI,1538
IC-NIDC,444
IC2E,504
IC2IT,68
IC3,1069
IC3D,260
IC3I,929
IC3INA,462
IC3K,287
IC4E,393
ICA,647
ICA3PP,379
ICA3PP (1),519
ICA3PP (2),501
ICA3PP (3),237
ICA3PP (4),138
ICA3PP (5),30
ICA3PP (6),30
ICA3PP (7),23
ICAA,65
ICAAI,153
ICAART,107
ICAART (1),1022
ICAART (2),1169
ICAART (3),431
ICAART (Revised Selected Paper),24
ICAART (Revised Selected Papers),279
ICAASE,118
ICAC,1707
ICACCI,2746
ICACDS,160
ICACDS (1),201
ICACDS (2),201
ICACI,678
ICACIE (1),41
ICACIE (2),46
ICACIS,70
ICACIT,109
ICACNI,136
ICACS,299
ICACT,907
ICAD,140
ICADIWT,121
ICADL,1090
ICAHGCA@AAMAS,9
ICAI,250
ICAI (1),36
ICAI (2),31
ICAI Workshops,102
ICAIC,76
ICAIDS,44
ICAIF,248
ICAIIC,822
ICAIL,754
ICAIP,231
ICAIS,61
ICAIS (1),250
ICAIS (2),246
ICAIS (3),115
ICAISC,507
ICAISC (1),831
ICAISC (2),733
ICAIT,720
ICAITA,24
ICAL,225
ICALP,3279
ICALP (1),655
ICALP (2),489
ICALT,4393
ICANN,1078
ICANN (1),1170
ICANN (2),1225
ICANN (3),342
ICANN (4),183
ICANNGA,496
ICANNGA (1),139
ICANNGA (2),127
ICAPR,292
ICAPS,1362
ICAR,1009
ICARA,577
ICARA (selected extended papers),27
ICARCV,3655
ICARIS,338
ICARM,1089
ICARSC,517
ICAS,192
ICASSP,41734
ICASSP (1),1728
ICASSP (2),1730
ICASSP (3),1749
ICASSP (4),1725
ICASSP (5),1383
ICASSP (6),238
ICAST (1),82
ICAT,719
ICAT-EGVE,185
ICAT-EGVE (Posters and Demos),129
ICATPN,299
ICB,788
ICBASE,126
ICBBB,155
ICBBE,227
ICBBS,165
ICBBT,210
ICBC,270
ICBCT,113
ICBDC,186
ICBDE,158
ICBDR,75
ICBDS,218
ICBDT,311
ICBEA,71
ICBET,257
ICBINB,19
ICBINB@NeurIPS,32
ICBIP,104
ICBK,222
ICBL,265
ICBO,453
ICBO/ODLS,27
ICBRA,148
ICBSP,81
ICBTA,88
ICC,23356
ICC (1),325
ICC (2),330
ICC (3),342
ICC Workshops,2997
ICCA,3006
ICCABS,430
ICCAC,109
ICCAD,5318
ICCAE,365
ICCAI,486
ICCAIS,863
ICCAL,135
ICCASA,193
ICCASA/ICTCC,93
ICCBB,97
ICCBD,92
ICCBDC,136
ICCBN,145
ICCBR,819
ICCBR (Workshops),70
ICCBR Doctoral Consortium,11
ICCBR Workshops,198
ICCBSS,230
ICCC,3350
ICCC Workshops,433
ICCCI,483
ICCCI (1),445
ICCCI (2),450
ICCCI (CCIS Volume),245
ICCCM,197
ICCCN,3511
ICCCNT,3463
ICCCRI,44
ICCCS,1326
ICCCS (1),159
ICCCS (2),202
ICCCSP,105
ICCCT,117
ICCCV,90
ICCD,3576
ICCDA,204
ICCDE,125
ICCE,4235
ICCE-Berlin,951
ICCE-TW,1845
ICCEIC,147
ICCHP,824
ICCHP (1),556
ICCHP (2),503
ICCI,368
ICCI*CC,657
ICCIDS,102
ICCIP,338
ICCIR,303
ICCIT,162
ICCL,594
ICCL Workshop: Internet Programming Languages,8
ICCMA,398
ICCMB,197
ICCMS,382
ICCNS,226
ICCNSM,19
ICCP,920
ICCPOL,98
ICCPR,420
ICCPS,543
ICCR,322
ICCS,3386
ICCS (1),612
ICCS (2),473
ICCS (3),455
ICCS (4),268
ICCS (5),235
ICCS (6),105
ICCS-DE,57
ICCSA (1),1532
ICCSA (2),1508
ICCSA (3),1223
ICCSA (4),1044
ICCSA (5),623
ICCSA (6),335
ICCSA (7),165
ICCSA (Workshops 1),96
ICCSA (Workshops 2),94
ICCSA (Workshops 3),93
ICCSA (Workshops 4),91
ICCSA (Workshops 5),98
ICCSA (Workshops 6),87
ICCSA Workshops,327
ICCSAMA,148
ICCSCE,771
ICCSCI,394
ICCSE,878
ICCSE (1),104
ICCSE (2),90
ICCSE (3),85
ICCSIE,256
ICCSIP,210
ICCSIP (1),51
ICCSIP (2),47
ICCSP,144
ICCSPA,214
ICCST,607
ICCSW,124
ICCT,1742
ICCTA,496
ICCV,8975
ICCV Workshops,1793
ICCV-HCI,40
ICCVE,680
ICCVG,530
ICDAR,3486
ICDAR (1),73
ICDAR (2),93
ICDAR (3),80
ICDAR (4),82
ICDAR Workshops (1),57
ICDAR Workshops (2),61
ICDAR@ICMR,53
ICDCIT,689
ICDCN,948
ICDCS,3996
ICDCS Workshops,1546
ICDE,5796
ICDE Workshops,1056
ICDEL,198
ICDEM,50
ICDEW,98
ICDEc,158
ICDF2C,209
ICDF2C (1),20
ICDF2C (2),23
ICDH,136
ICDIM,953
ICDIP,957
ICDIS,178
ICDKE,37
ICDL,249
ICDL-EPIROB,621
ICDLT,151
ICDM,4008
ICDM (Poster and Industry Proceedings),36
ICDM (Posters and Workshops),28
ICDM (Posters),64
ICDM (Workshops),698
ICDM Workshops,2352
ICDMA,592
ICDP,196
ICDS,282
ICDSC,638
ICDSE,81
ICDSP,245
ICDSST,130
ICDT,736
ICDTE,238
ICE,134
ICE-B,404
ICE-GIC,68
ICE/ITMC,785
ICE@ICALP,10
ICEA,92
ICEAC,123
ICEB,350
ICEBE,1272
ICEBT,114
ICEC,1833
ICECC,127
ICECCS,995
ICECOCS,215
ICECS,6918
ICEED,84
ICEEG,209
ICEEI,638
ICEEL,166
ICEGOV,1479
ICEIC,866
ICEIMT,109
ICEIMT/DIISM,40
ICEIS,708
ICEIS (1),1914
ICEIS (2),1773
ICEIS (3),963
ICEIS (4),531
ICEIS (5),267
ICEIS (Revised Selected Papers),250
ICEIS (Selected Papers),101
ICEIS Doctoral Consortium,28
ICEIT,301
ICEMC,76
ICEME,482
ICEMT,288
ICER,600
ICER (1),63
ICER (2),78
ICES,361
ICESS,496
ICETC,582
ICETE,96
ICETE (1),169
ICETE (2),236
ICETE (3),80
ICETE (Selected Papers),392
ICETET,878
ICETM,221
ICETT,131
ICEUTE,45
ICFC,37
ICFCA,359
ICFCE,151
ICFEC,93
ICFEM,800
ICFET,143
ICFHR,707
ICFI,43
ICFIE,298
ICFNDS,581
ICFP,715
ICFP-WGP,28
ICFSP,199
ICGA,504
ICGDA,127
ICGEC,532
ICGEC (1),47
ICGEC (2),48
ICGI,451
ICGJ,61
ICGS3,120
ICGS3/e-Democracy,38
ICGSE,475
ICGSE Workshops,96
ICGSP,138
ICGT,396
ICHC,26
ICHI,1231
ICHIM,157
ICHIM (1),46
ICHIM (2),58
ICHIT,189
ICHIT (1),190
ICHIT (2),189
ICHL,304
ICHMI,35
ICHMS,296
ICHSA,130
ICIA,2081
ICIAI,211
ICIAP,925
ICIAP (1),540
ICIAP (2),546
ICIAP Workshops,267
ICIAP Workshops (1),92
ICIAP Workshops (2),43
ICIAR,903
ICIAR (1),470
ICIAR (2),463
ICIBE,358
ICIC,70
ICIC (1),1789
ICIC (2),1770
ICIC (3),1308
ICICA (1),348
ICICA (2),346
ICICA (LNCS),276
ICICDT,559
ICICIS,75
ICICM,70
ICICS,1584
ICICT,315
ICICT (1),134
ICICT (2),135
ICICT (3),91
ICIDS,701
ICIEI,138
ICIG,691
ICIG (1),288
ICIG (2),282
ICIG (3),272
ICIGP,296
ICII,101
ICIIA,23
ICIIP,403
ICIIS,1007
ICIIT,151
ICIKS,39
ICIMCS,639
ICIME,63
ICIMMI,297
ICIMTH,1027
ICIN,561
ICINCO,521
ICINCO (1),1002
ICINCO (2),915
ICINCO (3),81
ICINCO (Selected Papers),187
ICINCO-ICSO,251
ICINCO-RA,167
ICINCO-RA (1),106
ICINCO-RA (2),132
ICINCO-SPSMC,188
ICIOT,138
ICIP,17434
ICIP (1),2289
ICIP (2),2379
ICIP (3),2498
ICIP (4),231
ICIQ,523
ICIRA,175
ICIRA (1),992
ICIRA (2),960
ICIRA (3),457
ICIRA (4),256
ICIRA (5),113
ICIRA (6),111
ICIS,8232
ICIS (best papers),16
ICISA,356
ICISC,678
ICISC (1),17
ICISC (2),16
ICISCAE,408
ICISDM,162
ICISE,196
ICISO,175
ICISP,427
ICISS,632
ICISSP,797
ICISSP (Revised Selected Papers),96
ICIST,578
ICISTM,177
ICIT,3903
ICITAM,85
ICITCS,663
ICITE,330
ICITEE,632
ICITL,412
ICITS,445
ICITST,998
ICIW,292
ICKG,176
ICKII,513
ICL (1),564
ICL (2),570
ICL-GNSS,316
ICL-GNSS (Work in Progress),46
ICLA,130
ICLIQE,271
ICLP,1172
ICLP (Technical Communications),223
ICLP Technical Communications,90
ICLP Workshop on Construction of Logic Programs,14
ICLP Workshops,101
ICLP-Workshops on Implementation of Logic Programming Systems,17
ICLR,4342
ICLR (Poster),1089
ICLR (Workshop Poster),59
ICLR (Workshop),394
ICLS,2355
ICLS (1),208
ICLS (2),66
ICM,1385
ICMAI,118
ICMAS,303
ICMB,481
ICMC,4834
ICMCIS,362
ICMCS,1109
ICMCTA,84
ICME,7752
ICME Workshops,1499
ICMECG,62
ICMENS,374
ICMHI,330
ICMI,1958
ICMI Companion,274
ICMIP,155
ICML,10354
ICMLA,3158
ICMLA (1),301
ICMLA (2),281
ICMLC,3497
ICMLSC,283
ICMLT,160
ICMMI,337
ICMR,1258
ICMRE,284
ICMS,389
ICMSS,274
ICMSSP,168
ICMT,89
ICMT@TOOLS,93
ICMTEL (1),94
ICMTEL (2),104
ICMTEL (3),30
ICMTEL (4),38
ICMU,332
ICMV,828
ICMVA,104
ICN,683
ICN (1),191
ICN (2),219
ICNC,4610
ICNC (1),708
ICNC (2),707
ICNC (3),589
ICNC (4),421
ICNC (5),406
ICNC (6),252
ICNC-FSKD,1475
ICNCC,372
ICNLSP,181
ICNN,2008
ICNP,1563
ICNS,387
ICNSC,2075
ICO,447
ICOD,40
ICOIN,2517
ICON,1504
ICONETSI,145
ICONIP,599
ICONIP (1),1691
ICONIP (10),45
ICONIP (11),45
ICONIP (12),47
ICONIP (13),46
ICONIP (14),45
ICONIP (15),39
ICONIP (2),1633
ICONIP (3),1046
ICONIP (4),740
ICONIP (5),599
ICONIP (6),330
ICONIP (7),154
ICONIP (8),46
ICONIP (9),45
ICONS,500
ICOODB,39
ICOOOLPS@ECOOP,84
ICORES,703
ICORES (Selected Papers),99
ICORR,894
ICOST,544
ICPADS,3226
ICPADS (1),195
ICPADS (2),199
ICPC,855
ICPCA/SWS,167
ICPCSEE (1),342
ICPCSEE (2),313
ICPE,580
ICPE (Companion),206
ICPE Companion,156
ICPEC,82
ICPHM,496
ICPM,105
ICPM Doctoral Consortium / Demo,71
ICPM Workshops,142
ICPP,2728
ICPP (1),618
ICPP (2),388
ICPP (3),398
ICPP Workshops,1428
ICPR,9771
ICPR (1),1282
ICPR (2),1271
ICPR (3),1079
ICPR (4),631
ICPR Workshops (1),106
ICPR Workshops (2),112
ICPR Workshops (3),101
ICPR Workshops (4),66
ICPR Workshops (5),54
ICPR Workshops (6),61
ICPR Workshops (7),48
ICPR Workshops (8),37
ICPR-Americas (1),29
ICPR-Americas (2),25
ICPRAM,1097
ICPRAM (1),122
ICPRAM (2),132
ICPRAM (Revised Selected Papers),73
ICPRAM (Selected Papers),58
ICPS,941
ICPW,24
ICPhS,1355
ICQE,153
ICQNM,34
ICQT,29
ICR,296
ICRA,26855
ICRAI,159
ICRC,235
ICRCA,42
ICRE,136
ICRMAT,125
ICS,1950
ICS-CSR,57
ICS@SYNASC,10
ICSA,154
ICSA Companion,228
ICSAI,1461
ICSAMOS,378
ICSAP,130
ICSBT,50
ICSBT/SECRYPT (Revised Selected Papers),8
ICSC,2372
ICSC-Cities,122
ICSCA,502
ICSCC,51
ICSCIB,59
ICSDE,69
ICSDM,166
ICSE,4600
ICSE (1),153
ICSE (2),368
ICSE (Companion Volume),907
ICSE (NIER),164
ICSE (SEET),126
ICSE (SEIP),200
ICSE (SEIS),40
ICSE Companion,679
ICSE Workshop on SE-HCI,41
ICSE Workshop on Studies of Software Design,15
ICSE-SEIP,124
ICSE-SEIS,74
ICSEA,410
ICSEB,157
ICSED,34
ICSET,335
ICSEng,298
ICSH,200
ICSI,150
ICSI (1),801
ICSI (2),777
ICSIBO,31
ICSIE,167
ICSIM,195
ICSIPA,526
ICSLE,55
ICSLP,2817
ICSLT,77
ICSM,1767
ICSME,871
ICSNC,227
ICSOB,340
ICSOB Companion,34
ICSOC,1057
ICSOC Workshops,659
ICSOC/ServiceWave Workshops,55
ICSOFT,685
ICSOFT (1),233
ICSOFT (2),252
ICSOFT (Selected Papers),277
ICSOFT-EA,107
ICSOFT-PT,37
ICSOFT/ENASE (Selected Papers),32
ICSP,150
ICSPCC,945
ICSPCS,818
ICSPIS,179
ICSPS,92
ICSR,1252
ICSR (1),86
ICSR (2),97
ICSRS,471
ICSS,340
ICSSA,97
ICSSE,312
ICSSP,294
ICST,1765
ICST E-Energy,25
ICST Workshops,861
ICSTCC,625
ICSTM,106
ICServ,163
ICT,1713
ICT Innovations,417
ICT-DM,291
ICT-EurAsia,136
ICT-GLOW,27
ICT4AWE,266
ICT4AWE (Revised Selected Papers),40
ICT4AgeingWell,98
ICT4AgeingWell (Selected Papers),44
ICT4D,130
ICT4DA,165
ICT4Justice,17
ICT4S,184
ICTA,720
ICTAC,546
ICTAI,3845
ICTAI (1),228
ICTAI (2),230
ICTAS,243
ICTC,4663
ICTCC,115
ICTCS,699
ICTCSDM,58
ICTD,496
ICTERI,501
ICTERI (Revised Selected Papers),126
ICTERI Workshops,245
ICTES,41
ICTIR,519
ICTON,3330
ICTRS,76
ICTSS,249
ICUCT,31
ICUFN,1736
ICUIMC,789
ICUMT,1586
ICUWB,307
ICVARS,79
ICVES,513
ICVGIP,964
ICVGIP Workshops,35
ICVIP,264
ICVISP,288
ICVNS,65
ICVS,526
ICWE,1250
ICWE Workshops,374
ICWET,702
ICWI,569
ICWL,801
ICWL Workshops,158
ICWL/SETE,46
ICWN,594
ICWS,2356
ICWSM,1800
ICWSM Workshops,107
ICYRIME,39
ICoC,36
ICoMS,115
IDA,767
IDAACS,1221
IDAACS-SWS,163
IDC,2287
IDCS,264
IDDM,210
IDEAL,1710
IDEAL (1),183
IDEAL (2),136
IDEAS,1107
IDIA,57
IDIMT,132
IDM@NIPS,13
IDMAN,37
IDMB,21
IDMS,186
IDP,12
IDS,63
IDSTA,104
IDT,384
IDtrust,35
IE,165
IEA/AIE,2171
IEA/AIE (1),392
IEA/AIE (2),391
IEA/AIE (Vol. 1),237
IEA/AIE (Vol. 2),235
IECC,94
IECON,12460
IEEA,216
IEEE ANTS,379
IEEE Big Data,1762
IEEE BigData,5345
IEEE CLOUD,786
IEEE Conf. of Intelligent Systems,230
IEEE Conf. on Intelligent Systems,362
IEEE Conf. on Intelligent Systems (1),75
IEEE Conf. on Intelligent Systems (2),79
IEEE Congress on Evolutionary Computation,5590
IEEE GSC,26
IEEE IA,63
IEEE ICBC,262
IEEE ICCI,701
IEEE ICCI*CC,188
